,movie,year,imdb,metascore,votes
77,Chicken Run,2000,7.0,88.0,161403
78,Charlie's Angels,2000,5.5,,161175
79,Batoru rowaiaru,2000,7.7,81.0,157589
80,High Fidelity,2000,7.5,79.0,157024
81,The Emperor's New Groove,2000,7.3,70.0,156918
82,Erin Brockovich,2000,7.3,73.0,156488
83,Road Trip,2000,6.5,,146988
84,The Perfect Storm,2000,6.4,,145539
85,"Dude, Where's My Car?",2000,5.5,,127520
86,Hollow Man,2000,5.7,,113534
87,Scream 3,2000,5.6,,112795
88,Billy Elliot,2000,7.7,74.0,112664
89,Shanghai Noon,2000,6.6,77.0,110410
90,The 6th Day,2000,5.9,,109478
91,What Lies Beneath,2000,6.6,,109084
92,Malcolm in the Middle,2000,8.0,,107426
93,Pay It Forward,2000,7.2,,106347
94,Faa yeung nin wa,2000,8.1,85.0,103042
95,The Whole Nine Yards,2000,6.7,,101292
96,Coyote Ugly,2000,5.7,,99889
97,Men of Honor,2000,7.2,,99843
98,The Family Man,2000,6.8,,96276
99,Frequency,2000,7.4,67.0,93428
100,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,92.0,1478783
101,A Beautiful Mind,2001,8.2,72.0,756786
102,"Monsters, Inc.",2001,8.1,78.0,724068
103,Donnie Darko,2001,8.1,88.0,688260
104,Amélie,2001,8.3,69.0,641467
105,Harry Potter and the Sorcerer's Stone,2001,7.6,64.0,558883
106,Shrek,2001,7.9,84.0,551023
107,Sen to Chihiro no kamikakushi,2001,8.6,96.0,542956
108,Ocean's Eleven,2001,7.8,74.0,467764
109,Training Day,2001,7.7,69.0,351876
110,Black Hawk Down,2001,7.7,74.0,334764
111,The Fast and the Furious,2001,6.8,,315711
112,The Others,2001,7.6,74.0,309699
113,Band of Brothers,2001,9.5,,307747
114,Pearl Harbor,2001,6.1,,289730
115,Mulholland Dr.,2001,8.0,83.0,286463
116,The Mummy Returns,2001,6.4,,280619
117,Artificial Intelligence: AI,2001,7.1,65.0,271351
118,Jurassic Park III,2001,5.9,,267323
119,Moulin Rouge!,2001,7.6,66.0,249368
120,The Royal Tenenbaums,2001,7.6,76.0,242710
121,Hannibal,2001,6.8,,234023
122,Vanilla Sky,2001,6.9,,231847
123,Zoolander,2001,6.6,61.0,228393
124,American Pie 2,2001,6.4,,222652
125,Blow,2001,7.6,,221332
126,Scrubs,2001,8.4,,221280
127,Enemy at the Gates,2001,7.6,,221269
128,Bridget Jones's Diary,2001,6.7,66.0,203237
129,Planet of the Apes,2001,5.7,,199776
130,Lara Croft: Tomb Raider,2001,5.8,,183180
131,Rush Hour 2,2001,6.6,,182975
132,Swordfish,2001,6.5,,167723
133,K-PAX,2001,7.4,,165883
134,24,2001,8.4,,161859
135,Legally Blonde,2001,6.3,,160767
136,A Knight's Tale,2001,6.9,,155359
137,Jay and Silent Bob Strike Back,2001,6.9,,139841
138,From Hell,2001,6.8,,138120
139,Scary Movie 2,2001,5.3,,136531
140,I Am Sam,2001,7.6,,134519
141,Spy Game,2001,7.1,63.0,133889
142,Shallow Hal,2001,5.9,,119923
143,The Princess Diaries,2001,6.3,,114233
144,The Score,2001,6.8,71.0,112132
145,Evolution,2001,6.1,,111506
146,Six Feet Under,2001,8.7,,108677
147,Smallville,2001,7.5,,107536
148,Ghost World,2001,7.4,88.0,105974
149,Y tu mamá también,2001,7.7,88.0,105537
150,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,92.0,1478783
151,A Beautiful Mind,2001,8.2,72.0,756786
152,"Monsters, Inc.",2001,8.1,78.0,724068
153,Donnie Darko,2001,8.1,88.0,688260
154,Amélie,2001,8.3,69.0,641467
155,Harry Potter and the Sorcerer's Stone,2001,7.6,64.0,558883
156,Shrek,2001,7.9,84.0,551023
157,Sen to Chihiro no kamikakushi,2001,8.6,96.0,542956
158,Ocean's Eleven,2001,7.8,74.0,467764
159,Training Day,2001,7.7,69.0,351876
160,Black Hawk Down,2001,7.7,74.0,334764
161,The Fast and the Furious,2001,6.8,,315711
162,The Others,2001,7.6,74.0,309699
163,Band of Brothers,2001,9.5,,307747
164,Pearl Harbor,2001,6.1,,289730
165,Mulholland Dr.,2001,8.0,83.0,286463
166,The Mummy Returns,2001,6.4,,280619
167,Artificial Intelligence: AI,2001,7.1,65.0,271351
168,Jurassic Park III,2001,5.9,,267323
169,Moulin Rouge!,2001,7.6,66.0,249368
170,The Royal Tenenbaums,2001,7.6,76.0,242710
171,Hannibal,2001,6.8,,234023
172,Vanilla Sky,2001,6.9,,231847
173,Zoolander,2001,6.6,61.0,228393
174,American Pie 2,2001,6.4,,222652
175,Blow,2001,7.6,,221332
176,Scrubs,2001,8.4,,221280
177,Enemy at the Gates,2001,7.6,,221269
178,Bridget Jones's Diary,2001,6.7,66.0,203237
179,Planet of the Apes,2001,5.7,,199776
180,Lara Croft: Tomb Raider,2001,5.8,,183180
181,Rush Hour 2,2001,6.6,,182975
182,Swordfish,2001,6.5,,167723
183,K-PAX,2001,7.4,,165883
184,24,2001,8.4,,161859
185,Legally Blonde,2001,6.3,,160767
186,A Knight's Tale,2001,6.9,,155359
187,Jay and Silent Bob Strike Back,2001,6.9,,139841
188,From Hell,2001,6.8,,138120
189,Scary Movie 2,2001,5.3,,136531
190,I Am Sam,2001,7.6,,134519
191,Spy Game,2001,7.1,63.0,133889
192,Shallow Hal,2001,5.9,,119923
193,The Princess Diaries,2001,6.3,,114233
194,The Score,2001,6.8,71.0,112132
195,Evolution,2001,6.1,,111506
196,Six Feet Under,2001,8.7,,108677
197,Smallville,2001,7.5,,107536
198,Ghost World,2001,7.4,88.0,105974
199,Y tu mamá también,2001,7.7,88.0,105537
200,The Lord of the Rings: The Two Towers,2002,8.7,87.0,1322110
201,Catch Me If You Can,2002,8.1,75.0,699897
202,Cidade de Deus,2002,8.6,79.0,632933
203,Spider-Man,2002,7.3,73.0,628892
204,The Pianist,2002,8.5,85.0,626716
205,Star Wars: Episode II - Attack of the Clones,2002,6.6,,564027
206,Harry Potter and the Chamber of Secrets,2002,7.4,63.0,482674
207,The Bourne Identity,2002,7.9,68.0,469099
208,Minority Report,2002,7.7,80.0,463204
209,Ice Age,2002,7.5,,393174
210,Gangs of New York,2002,7.5,72.0,366108
211,28 Days Later...,2002,7.6,73.0,341350
212,Signs,2002,6.7,,311793
213,Men in Black II,2002,6.1,,307408
214,The Ring,2002,7.1,,293960
215,Equilibrium,2002,7.5,,293032
216,The Transporter,2002,6.8,,266475
217,Insomnia,2002,7.2,78.0,250595
218,The Wire,2002,9.3,,238822
219,Panic Room,2002,6.8,65.0,234144
220,Phone Booth,2002,7.1,,233986
221,Red Dragon,2002,7.2,,228930
222,Resident Evil,2002,6.7,,228901
223,Road to Perdition,2002,7.7,72.0,225901
224,8 Mile,2002,7.1,77.0,224920
225,Firefly,2002,9.0,,221919
226,Chicago,2002,7.2,82.0,198403
227,Die Another Day,2002,6.1,,189413
228,A Walk to Remember,2002,7.4,,185951
229,Blade II,2002,6.7,,183686
230,Austin Powers in Goldmember,2002,6.2,62.0,181721
231,xXx,2002,5.9,,164352
232,Ying xiong,2002,7.9,85.0,164310
233,Adaptation.,2002,7.7,83.0,163423
234,25th Hour,2002,7.7,67.0,161595
235,About a Boy,2002,7.1,75.0,158920
236,Lilo & Stitch,2002,7.2,73.0,146553
237,Bowling for Columbine,2002,8.0,72.0,133918
238,Punch-Drunk Love,2002,7.3,78.0,130154
239,Mr. Deeds,2002,5.8,,125293
240,The Scorpion King,2002,5.5,,121008
241,We Were Soldiers,2002,7.2,65.0,119350
242,The Count of Monte Cristo,2002,7.8,61.0,118564
243,Reign of Fire,2002,6.2,,118429
244,About Schmidt,2002,7.2,85.0,116382
245,The Hours,2002,7.6,80.0,115285
246,John Q,2002,7.1,,113875
247,My Big Fat Greek Wedding,2002,6.6,62.0,112533
248,The Time Machine,2002,5.9,,112119
249,Mou gaan dou,2002,8.1,75.0,110139
250,The Lord of the Rings: The Two Towers,2002,8.7,87.0,1322110
251,Catch Me If You Can,2002,8.1,75.0,699897
252,Cidade de Deus,2002,8.6,79.0,632933
253,Spider-Man,2002,7.3,73.0,628892
254,The Pianist,2002,8.5,85.0,626716
255,Star Wars: Episode II - Attack of the Clones,2002,6.6,,564027
256,Harry Potter and the Chamber of Secrets,2002,7.4,63.0,482674
257,The Bourne Identity,2002,7.9,68.0,469099
258,Minority Report,2002,7.7,80.0,463204
259,Ice Age,2002,7.5,,393174
260,Gangs of New York,2002,7.5,72.0,366108
261,28 Days Later...,2002,7.6,73.0,341350
262,Signs,2002,6.7,,311793
263,Men in Black II,2002,6.1,,307408
264,The Ring,2002,7.1,,293960
265,Equilibrium,2002,7.5,,293032
266,The Transporter,2002,6.8,,266475
267,Insomnia,2002,7.2,78.0,250595
268,The Wire,2002,9.3,,238822
269,Panic Room,2002,6.8,65.0,234144
270,Phone Booth,2002,7.1,,233986
271,Red Dragon,2002,7.2,,228930
272,Resident Evil,2002,6.7,,228901
273,Road to Perdition,2002,7.7,72.0,225901
274,8 Mile,2002,7.1,77.0,224920
275,Firefly,2002,9.0,,221919
276,Chicago,2002,7.2,82.0,198403
277,Die Another Day,2002,6.1,,189413
278,A Walk to Remember,2002,7.4,,185951
279,Blade II,2002,6.7,,183686
280,Austin Powers in Goldmember,2002,6.2,62.0,181721
281,xXx,2002,5.9,,164352
282,Ying xiong,2002,7.9,85.0,164310
283,Adaptation.,2002,7.7,83.0,163423
284,25th Hour,2002,7.7,67.0,161595
285,About a Boy,2002,7.1,75.0,158920
286,Lilo & Stitch,2002,7.2,73.0,146553
287,Bowling for Columbine,2002,8.0,72.0,133918
288,Punch-Drunk Love,2002,7.3,78.0,130154
289,Mr. Deeds,2002,5.8,,125293
290,The Scorpion King,2002,5.5,,121008
291,We Were Soldiers,2002,7.2,65.0,119350
292,The Count of Monte Cristo,2002,7.8,61.0,118564
293,Reign of Fire,2002,6.2,,118429
294,About Schmidt,2002,7.2,85.0,116382
295,The Hours,2002,7.6,80.0,115285
296,John Q,2002,7.1,,113875
297,My Big Fat Greek Wedding,2002,6.6,62.0,112533
298,The Time Machine,2002,5.9,,112119
299,Mou gaan dou,2002,8.1,75.0,110139
300,The Lord of the Rings: The Return of the King,2003,8.9,94.0,1462118
301,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.0,63.0,950582
302,Kill Bill: Vol. 1,2003,8.1,69.0,888283
303,Finding Nemo,2003,8.1,90.0,851025
304,X2,2003,7.5,68.0,472534
305,The Matrix Reloaded,2003,7.2,62.0,471761
306,Oldeuboi,2003,8.4,74.0,448739
307,The Matrix Revolutions,2003,6.7,,409505
308,Big Fish,2003,8.0,,386099
309,Mystic River,2003,8.0,84.0,383967
310,Love Actually,2003,7.6,,381736
311,Lost in Translation,2003,7.8,89.0,369050
312,The Last Samurai,2003,7.7,,365094
313,Terminator 3: Rise of the Machines,2003,6.3,66.0,344420
314,Bruce Almighty,2003,6.7,,341437
315,The Italian Job,2003,7.0,68.0,318733
316,Arrested Development,2003,8.9,,250696
317,The School of Rock,2003,7.1,82.0,240423
318,Underworld,2003,7.0,,236817
319,Hulk,2003,5.7,,236451
320,2 Fast 2 Furious,2003,5.9,,227224
321,Two and a Half Men,2003,7.1,,224350
322,21 Grams,2003,7.7,70.0,210781
323,Identity,2003,7.3,64.0,206712
324,Bad Boys II,2003,6.6,,203828
325,Old School,2003,7.1,,201911
326,Daredevil,2003,5.3,,195634
327,Anger Management,2003,6.2,,189552
328,Elf,2003,6.9,64.0,188866
329,How to Lose a Guy in 10 Days,2003,6.4,,187703
330,Master and Commander: The Far Side of the World,2003,7.4,81.0,187573
331,Avatar: The Last Airbender,2003,9.2,,183044
332,American Wedding,2003,6.3,,180508
333,The League of Extraordinary Gentlemen,2003,5.8,,155648
334,Once Upon a Time in Mexico,2003,6.4,,143833
335,Final Destination 2,2003,6.2,,138029
336,Johnny English,2003,6.2,,134078
337,Cold Mountain,2003,7.2,73.0,130773
338,S.W.A.T.,2003,6.0,,130264
339,Good Bye Lenin!,2003,7.7,68.0,127944
340,Bad Santa,2003,7.1,70.0,126465
341,Scary Movie 3,2003,5.5,,126402
342,Dogville,2003,8.0,,124349
343,The Recruit,2003,6.6,,123291
344,Monster,2003,7.3,74.0,122983
345,The Texas Chainsaw Massacre,2003,6.2,,121351
346,Lara Croft Tomb Raider: The Cradle of Life,2003,5.5,,120213
347,Matchstick Men,2003,7.3,61.0,117042
348,Freaky Friday,2003,6.2,70.0,113525
349,Charlie's Angels: Full Throttle,2003,4.9,,111449
350,The Lord of the Rings: The Return of the King,2003,8.9,94.0,1462118
351,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.0,63.0,950582
352,Kill Bill: Vol. 1,2003,8.1,69.0,888283
353,Finding Nemo,2003,8.1,90.0,851025
354,X2,2003,7.5,68.0,472534
355,The Matrix Reloaded,2003,7.2,62.0,471761
356,Oldeuboi,2003,8.4,74.0,448739
357,The Matrix Revolutions,2003,6.7,,409505
358,Big Fish,2003,8.0,,386099
359,Mystic River,2003,8.0,84.0,383967
360,Love Actually,2003,7.6,,381736
361,Lost in Translation,2003,7.8,89.0,369050
362,The Last Samurai,2003,7.7,,365094
363,Terminator 3: Rise of the Machines,2003,6.3,66.0,344420
364,Bruce Almighty,2003,6.7,,341437
365,The Italian Job,2003,7.0,68.0,318733
366,Arrested Development,2003,8.9,,250696
367,The School of Rock,2003,7.1,82.0,240423
368,Underworld,2003,7.0,,236817
369,Hulk,2003,5.7,,236451
370,2 Fast 2 Furious,2003,5.9,,227224
371,Two and a Half Men,2003,7.1,,224350
372,21 Grams,2003,7.7,70.0,210781
373,Identity,2003,7.3,64.0,206712
374,Bad Boys II,2003,6.6,,203828
375,Old School,2003,7.1,,201911
376,Daredevil,2003,5.3,,195634
377,Anger Management,2003,6.2,,189552
378,Elf,2003,6.9,64.0,188866
379,How to Lose a Guy in 10 Days,2003,6.4,,187703
380,Master and Commander: The Far Side of the World,2003,7.4,81.0,187573
381,Avatar: The Last Airbender,2003,9.2,,183044
382,American Wedding,2003,6.3,,180508
383,The League of Extraordinary Gentlemen,2003,5.8,,155648
384,Once Upon a Time in Mexico,2003,6.4,,143833
385,Final Destination 2,2003,6.2,,138029
386,Johnny English,2003,6.2,,134078
387,Cold Mountain,2003,7.2,73.0,130773
388,S.W.A.T.,2003,6.0,,130264
389,Good Bye Lenin!,2003,7.7,68.0,127944
390,Bad Santa,2003,7.1,70.0,126465
391,Scary Movie 3,2003,5.5,,126402
392,Dogville,2003,8.0,,124349
393,The Recruit,2003,6.6,,123291
394,Monster,2003,7.3,74.0,122983
395,The Texas Chainsaw Massacre,2003,6.2,,121351
396,Lara Croft Tomb Raider: The Cradle of Life,2003,5.5,,120213
397,Matchstick Men,2003,7.3,61.0,117042
398,Freaky Friday,2003,6.2,70.0,113525
399,Charlie's Angels: Full Throttle,2003,4.9,,111449
400,Eternal Sunshine of the Spotless Mind,2004,8.3,89.0,809622
401,Kill Bill: Vol. 2,2004,8.0,83.0,602907
402,The Incredibles,2004,8.0,90.0,587630
403,Million Dollar Baby,2004,8.1,86.0,577821
404,Spider-Man 2,2004,7.3,83.0,490239
405,Harry Potter and the Prisoner of Azkaban,2004,7.9,82.0,478915
406,The Notebook,2004,7.9,,465610
407,Shaun of the Dead,2004,7.9,76.0,462350
408,"I, Robot",2004,7.1,,456657
409,Lost,2004,8.4,,448478
410,Troy,2004,7.2,,444908
411,The Butterfly Effect,2004,7.7,,415542
412,The Bourne Supremacy,2004,7.8,73.0,402337
413,Crash,2004,7.8,69.0,397322
414,The Day After Tomorrow,2004,6.4,,380054
415,Shrek 2,2004,7.2,75.0,373496
416,House M.D.,2004,8.7,,368087
417,The Terminal,2004,7.3,,359687
418,Saw,2004,7.6,,347159
419,Collateral,2004,7.5,71.0,331829
420,Ocean's Twelve,2004,6.5,,327146
421,The Machinist,2004,7.7,61.0,325710
422,Hotel Rwanda,2004,8.1,79.0,309417
423,Anchorman: The Legend of Ron Burgundy,2004,7.2,63.0,304484
424,Man on Fire,2004,7.7,,303597
425,The Aviator,2004,7.5,77.0,303496
426,50 First Dates,2004,6.8,,299939
427,Der Untergang,2004,8.2,82.0,299374
428,Mean Girls,2004,7.0,66.0,296045
429,National Treasure,2004,6.9,,282267
430,Hellboy,2004,6.9,72.0,281206
431,Hauru no ugoku shiro,2004,8.2,80.0,276466
432,Meet the Fockers,2004,6.3,,235637
433,Van Helsing,2004,6.1,,226133
434,The Village,2004,6.5,,224563
435,Dawn of the Dead,2004,7.3,,217955
436,Dodgeball: A True Underdog Story,2004,6.7,,210814
437,Before Sunset,2004,8.1,90.0,203873
438,The Chronicles of Riddick,2004,6.7,,202430
439,Garden State,2004,7.5,67.0,200264
440,The Passion of the Christ,2004,7.2,,198447
441,Finding Neverland,2004,7.7,67.0,189632
442,The Girl Next Door,2004,6.7,,188691
443,Closer,2004,7.3,65.0,188384
444,A Series of Unfortunate Events,2004,6.8,62.0,182980
445,Napoleon Dynamite,2004,6.9,64.0,181743
446,EuroTrip,2004,6.6,,180679
447,Resident Evil: Apocalypse,2004,6.2,,173340
448,AVP: Alien vs. Predator,2004,5.6,,170823
449,Harold & Kumar Go to White Castle,2004,7.1,64.0,170592
450,Eternal Sunshine of the Spotless Mind,2004,8.3,89.0,809622
451,Kill Bill: Vol. 2,2004,8.0,83.0,602907
452,The Incredibles,2004,8.0,90.0,587630
453,Million Dollar Baby,2004,8.1,86.0,577821
454,Spider-Man 2,2004,7.3,83.0,490239
455,Harry Potter and the Prisoner of Azkaban,2004,7.9,82.0,478915
456,The Notebook,2004,7.9,,465610
457,Shaun of the Dead,2004,7.9,76.0,462350
458,"I, Robot",2004,7.1,,456657
459,Lost,2004,8.4,,448478
460,Troy,2004,7.2,,444908
461,The Butterfly Effect,2004,7.7,,415542
462,The Bourne Supremacy,2004,7.8,73.0,402337
463,Crash,2004,7.8,69.0,397322
464,The Day After Tomorrow,2004,6.4,,380054
465,Shrek 2,2004,7.2,75.0,373496
466,House M.D.,2004,8.7,,368087
467,The Terminal,2004,7.3,,359687
468,Saw,2004,7.6,,347159
469,Collateral,2004,7.5,71.0,331829
470,Ocean's Twelve,2004,6.5,,327146
471,The Machinist,2004,7.7,61.0,325710
472,Hotel Rwanda,2004,8.1,79.0,309417
473,Anchorman: The Legend of Ron Burgundy,2004,7.2,63.0,304484
474,Man on Fire,2004,7.7,,303597
475,The Aviator,2004,7.5,77.0,303496
476,50 First Dates,2004,6.8,,299939
477,Der Untergang,2004,8.2,82.0,299374
478,Mean Girls,2004,7.0,66.0,296045
479,National Treasure,2004,6.9,,282267
480,Hellboy,2004,6.9,72.0,281206
481,Hauru no ugoku shiro,2004,8.2,80.0,276466
482,Meet the Fockers,2004,6.3,,235637
483,Van Helsing,2004,6.1,,226133
484,The Village,2004,6.5,,224563
485,Dawn of the Dead,2004,7.3,,217955
486,Dodgeball: A True Underdog Story,2004,6.7,,210814
487,Before Sunset,2004,8.1,90.0,203873
488,The Chronicles of Riddick,2004,6.7,,202430
489,Garden State,2004,7.5,67.0,200264
490,The Passion of the Christ,2004,7.2,,198447
491,Finding Neverland,2004,7.7,67.0,189632
492,The Girl Next Door,2004,6.7,,188691
493,Closer,2004,7.3,65.0,188384
494,A Series of Unfortunate Events,2004,6.8,62.0,182980
495,Napoleon Dynamite,2004,6.9,64.0,181743
496,EuroTrip,2004,6.6,,180679
497,Resident Evil: Apocalypse,2004,6.2,,173340
498,AVP: Alien vs. Predator,2004,5.6,,170823
499,Harold & Kumar Go to White Castle,2004,7.1,64.0,170592
500,Batman Begins,2005,8.3,70.0,1171391
501,V for Vendetta,2005,8.2,62.0,938585
502,Sin City,2005,8.0,74.0,710505
503,Star Wars: Episode III - Revenge of the Sith,2005,7.6,68.0,628708
504,How I Met Your Mother,2005,8.3,,528342
505,Harry Potter and the Goblet of Fire,2005,7.7,81.0,478501
506,Prison Break,2005,8.4,,422792
507,Mr. & Mrs. Smith,2005,6.5,,409711
508,Charlie and the Chocolate Factory,2005,6.7,72.0,382721
509,War of the Worlds,2005,6.5,73.0,382358
510,King Kong,2005,7.2,81.0,361574
511,The 40 Year Old Virgin,2005,7.1,73.0,357675
512,Supernatural,2005,8.5,,345774
513,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,6.9,75.0,334831
514,Madagascar,2005,6.9,,323945
515,Wedding Crashers,2005,7.0,64.0,310828
516,Brokeback Mountain,2005,7.7,87.0,295425
517,Fantastic Four,2005,5.7,,293641
518,The Island,2005,6.9,,286012
519,The Office,2005,8.8,,282743
520,Lord of War,2005,7.6,62.0,274866
521,Hitch,2005,6.6,,274684
522,Constantine,2005,7.0,,272984
523,Serenity,2005,7.9,74.0,267252
524,Kingdom of Heaven,2005,7.2,63.0,247421
525,Pride & Prejudice,2005,7.8,82.0,227406
526,Corpse Bride,2005,7.4,83.0,220470
527,Saw II,2005,6.6,,215066
528,Walk the Line,2005,7.9,72.0,209943
529,A History of Violence,2005,7.5,81.0,208502
530,Grey's Anatomy,2005,7.6,,206658
531,Thank You for Smoking,2005,7.6,71.0,204700
532,Kiss Kiss Bang Bang,2005,7.6,72.0,200301
533,Munich,2005,7.6,74.0,196713
534,Match Point,2005,7.6,72.0,189078
535,The Descent,2005,7.2,71.0,181892
536,Doctor Who,2005,8.7,,181375
537,Transporter 2,2005,6.3,,177571
538,The Hitchhiker's Guide to the Galaxy,2005,6.8,63.0,175716
539,It's Always Sunny in Philadelphia,2005,8.7,,167191
540,Cinderella Man,2005,8.0,69.0,164951
541,Jarhead,2005,7.0,,160379
542,Hostel,2005,5.9,,156923
543,The Longest Yard,2005,6.4,,148468
544,Hard Candy,2005,7.1,,145428
545,Flightplan,2005,6.3,,141875
546,Rome,2005,8.8,,137997
547,Criminal Minds,2005,8.1,,135595
548,Hooligans,2005,7.5,,132405
549,Memoirs of a Geisha,2005,7.4,,130428
550,Batman Begins,2005,8.3,70.0,1171391
551,V for Vendetta,2005,8.2,62.0,938585
552,Sin City,2005,8.0,74.0,710505
553,Star Wars: Episode III - Revenge of the Sith,2005,7.6,68.0,628708
554,How I Met Your Mother,2005,8.3,,528342
555,Harry Potter and the Goblet of Fire,2005,7.7,81.0,478501
556,Prison Break,2005,8.4,,422792
557,Mr. & Mrs. Smith,2005,6.5,,409711
558,Charlie and the Chocolate Factory,2005,6.7,72.0,382721
559,War of the Worlds,2005,6.5,73.0,382358
560,King Kong,2005,7.2,81.0,361574
561,The 40 Year Old Virgin,2005,7.1,73.0,357675
562,Supernatural,2005,8.5,,345774
563,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,6.9,75.0,334831
564,Madagascar,2005,6.9,,323945
565,Wedding Crashers,2005,7.0,64.0,310828
566,Brokeback Mountain,2005,7.7,87.0,295425
567,Fantastic Four,2005,5.7,,293641
568,The Island,2005,6.9,,286012
569,The Office,2005,8.8,,282743
570,Lord of War,2005,7.6,62.0,274866
571,Hitch,2005,6.6,,274684
572,Constantine,2005,7.0,,272984
573,Serenity,2005,7.9,74.0,267252
574,Kingdom of Heaven,2005,7.2,63.0,247421
575,Pride & Prejudice,2005,7.8,82.0,227406
576,Corpse Bride,2005,7.4,83.0,220470
577,Saw II,2005,6.6,,215066
578,Walk the Line,2005,7.9,72.0,209943
579,A History of Violence,2005,7.5,81.0,208502
580,Grey's Anatomy,2005,7.6,,206658
581,Thank You for Smoking,2005,7.6,71.0,204700
582,Kiss Kiss Bang Bang,2005,7.6,72.0,200301
583,Munich,2005,7.6,74.0,196713
584,Match Point,2005,7.6,72.0,189078
585,The Descent,2005,7.2,71.0,181892
586,Doctor Who,2005,8.7,,181375
587,Transporter 2,2005,6.3,,177571
588,The Hitchhiker's Guide to the Galaxy,2005,6.8,63.0,175716
589,It's Always Sunny in Philadelphia,2005,8.7,,167191
590,Cinderella Man,2005,8.0,69.0,164951
591,Jarhead,2005,7.0,,160379
592,Hostel,2005,5.9,,156923
593,The Longest Yard,2005,6.4,,148468
594,Hard Candy,2005,7.1,,145428
595,Flightplan,2005,6.3,,141875
596,Rome,2005,8.8,,137997
597,Criminal Minds,2005,8.1,,135595
598,Hooligans,2005,7.5,,132405
599,Memoirs of a Geisha,2005,7.4,,130428
600,The Departed,2006,8.5,85.0,1054865
