Set,Price_Euro,Pieces,Minifigs
Andrea's Heart Box,7.99,84.0,
Emma's Heart Box,7.99,85.0,
Stephanie's Heart Box,7.99,85.0,
Olivia's Heart Box,7.99,85.0,
Mia's Heart Box,7.99,83.0,
Heart Box Friendship Pack,19.99,199.0,
Emma's Mobile Veterinary Clinic ,9.74,50.0,
Mia's Foal Stable ,19.49,118.0,
Heartlake City Supermarket,29.23,140.0,2.0
Mia's Forest Adventures ,14.99,134.0,
Stephanie's Buggy & Trailer ,19.99,166.0,
Emma's Art Studio,24.99,235.0,
Olivia's Cupcake Cafe,29.23,335.0,
Stephanie's Horse Jumping,38.98,337.0,
Andrea's Talent Show,49.99,492.0,
Mia's House,68.23,715.0,
Mia's Horse Trailer,29.23,216.0,
Stephanie's Gymnastics Show,29.23,241.0,
Funny Octopus Ride,38.98,324.0,
Andrea's Pool Party,48.73,468.0,
Heartlake City Amusement Pier,126.71,1251.0,
Turtles Rescue Mission,19.49,225.0,
Dolphins Rescue Mission,38.98,363.0,
Heartlake City Restaurant,58.48,624.0,
Lighthouse Rescue Centre,58.48,602.0,
Rescue Mission Boat,87.72,908.0,
Friends Advent Calendar,24.99,330.0,
Olivia's Hamster Playground,9.74,81.0,
Andrea's Summer Heart Box,7.99,83.0,
Emma's Summer Heart Box,7.99,86.0,
Stephanie's Summer Heart Box,7.99,95.0,1.0
Olivia's Summer Heart Box,7.99,93.0,
Mia's Summer Heart Box,7.99,85.0,
Emmet,,113.0,
Wyldstyle,,134.0,
Benny,,103.0,
Sweet Mayhem,,137.0,
Cherry Picker,9.74,155.0,
Power Boat,14.99,174.0,
Getaway Truck,19.99,128.0,
Police Pursuit,19.49,120.0,
Rescue Helicopter,29.99,325.0,
Chevrolet Corvette ZR1,39.99,579.0,
Tracked Loader,59.99,827.0,
Remote-Controlled Stunt Racer,79.99,324.0,
Porsche 911 RSR,159.99,1580.0,
Compact Crawler Crane,87.72,920.0,
Car Transporter,149.99,2493.0,
4x4 X-Treme Off-Roader,229.99,958.0,
Liebherr R 9800,449.99,4108.0,
Land Rover Defender,199.99,2573.0,
Elsa's Ice Palace,69.99,701.0,
City Shaper,,2238.0,
BOOMTOWN BUILD Inspire Set,,739.0,
BOOMTOWN BUILD Discovery Set,,78.0,
Ski Resort,77.97,806.0,
Jet Patrol,9.74,54.0,
Sky Police Drone Chase,19.49,192.0,
Parachute Arrest,29.23,218.0,
Diamond Heist,49.99,400.0,
Air Base,73.1,529.0,
Barbecue Burn Out,9.74,64.0,
Dock Side Fire,14.61,97.0,
Burger Bar Fire Rescue,29.99,327.0,
Fire Station,59.99,509.0,
Downtown Fire Brigade,99.99,943.0,
Fire Plane,38.98,363.0,
Desert Rally Racer,9.99,75.0,
Construction Loader,9.99,88.0,
Garbage Truck,19.99,90.0,
Diving Yacht,19.99,148.0,
Snow Groomer,19.49,197.0,
Harvester Transport,29.99,358.0,
Satellite Service Mission,9.74,84.0,1.0
Rover Testing Drive,19.49,202.0,2.0
Mars Research Shuttle,29.99,273.0,
Lunar Space Station,48.73,412.0,
Deep Space Rocket and Launch Control,99.99,837.0,
 Rocket Assembly & Transport,129.99,1055.0,
People Pack - Space Research and Development,38.98,209.0,
Fire Chief Response Truck,19.49,201.0,2.0
Garage Centre,38.98,234.0,
Donut Shop Opening,79.99,790.0,
People Pack - Fun Fair,38.98,183.0,
City Advent Calendar,19.99,234.0,
Straight & T-Junction ,9.74,2.0,
Curves & Crossroad,9.74,2.0,
Police Patrol Car,9.99,92.0,1.0
Kayak Adventure,9.99,84.0,
Super Pack 3-in-1,,,
Super Pack 2-in-1 ,,,
Super Pack 2-in-1 ,,,
Bonus/Value pack,,218.0,
Bonus/Value pack,,125.0,
2-in-1 Value Pack: Star-Lord & Gamora,,249.0,
Super Pack 3-in-1,,,
Super Pack 3-in-1,,,
Super Pack 3-in-1,,,
J.B.'s Ghost Lab,19.99,174.0,3.0
Wrecked Shrimp Boat,29.23,310.0,
Graveyard Mystery,29.23,335.0,
El Fuego's Stunt Truck,38.98,428.0,
Shrimp Shack Attack,48.73,579.0,
Paranormal Intercept Bus 3000,58.48,689.0,
Ghost Train Express,77.97,698.0,
Newbury Haunted High School,116.97,1474.0,
Spinjitzu Kai,9.99,97.0,1.0
Spinjitzu Jay,9.99,97.0,1.0
Spinjitzu Zane,9.99,109.0,1.0
Spinjitzu Cole,9.99,117.0,1.0
Spinjitzu Nya & Wu,19.99,227.0,2.0
Spinjitzu Lloyd vs. Garmadon,19.99,208.0,2.0
The Samurai Mech,14.61,154.0,
The Golden Dragon,19.49,171.0,
Kai's Blade Cycle & Zane's Snowmobile,29.99,376.0,4.0
Jay's Storm Fighter,38.98,490.0,4.0
Cole's Earth Driller ,49.99,587.0,
Monastery of Spinjitzu,77.97,1070.0,
Lloyd's Journey,14.61,81.0,
Cole's Dirt Bike,19.49,212.0,3.0
Shuricopter,29.23,361.0,
Fire Fang,43.86,463.0,
Katana 4X4,48.73,450.0,
Lloyd's Titan Mech,68.23,876.0,
Land Bounty,126.71,1178.0,
Castle of the Forsaken Emperor,97.47,1218.0,
The Ultra Dragon,87.72,951.0,6.0
Monastery Training,9.99,122.0,2.0
Spinjitzu Slam - Lloyd,9.74,70.0,1.0
Spinjitzu Slam - Jay,9.74,72.0,1.0
Spinjitzu Slam - Zane,9.99,63.0,
Spinjitzu Slam - Kai vs. Samurai,19.49,164.0,2.0
LEGO Movie Maker,49.99,482.0,
Emmet and Benny's 'Build and Fix' Workshop!,19.99,117.0,2.0
Unikitty's Sweetest Friends EVER!,9.99,76.0,
Emmet's Thricycle!,14.99,174.0,1.0
Introducing Queen Watevra Wa'Nabi,19.99,115.0,
Queen Watevra's Build Whatever Box!,39.99,455.0,
Rex's Rex-treme Offroader!,29.99,236.0,2.0
Ultrakatty & Warrior Lucy!,29.99,348.0,2.0
Pop-Up Party Bus,89.99,1024.0,
Emmet and Lucy's Escape Buggy!,49.99,550.0,
Sweet Mayhem's Systar Starship!,69.99,502.0,
Emmet's Dream House/Rescue Rocket!,59.99,706.0,
Emmet's Builder Box!,29.99,125.0,1.0
Lucy's Builder Box!,29.99,141.0,
MetalBeard's Heavy Metal Motor Trike!,59.99,461.0,
Rex's Rexplorer!,119.99,1187.0,2.0
Battle-Ready Batman and MetalBeard,19.99,168.0,
Shimmer & Shine Sparkle Spa!,69.99,691.0,
Queen Watevra's ‘So-Not-Evil' Space Palace,99.99,995.0,
The Rexcelsior!,149.99,1826.0,
Welcome to Apocalypseburg!,299.99,3178.0,
Benny's Space Squad,9.99,68.0,
Emmet's Triple-Decker Couch Mech,29.99,312.0,
Good Morning Sparkle Babies!,9.99,50.0,
Systar Party Crew,19.99,196.0,
Wyld-Mayhem Star Fighter,49.99,405.0,
LEGO Minifigures - The LEGO Movie 2 Series {Random bag},,,
Awesome Remix Emmet,,7.0,1.0
Battle-Ready Lucy,,8.0,1.0
Apocalypse Benny,,8.0,1.0
Giraffe Guy,,6.0,1.0
Crayon Girl,,6.0,1.0
Sherry Scratchen-Post & Scarfield,,6.0,1.0
Hula Lula,,8.0,1.0
Watermelon Dude,,6.0,1.0
Flashback Lucy,,7.0,1.0
Swamp Creature,,6.0,1.0
Candy Rapper,,8.0,1.0
Gone Golfin' President Business,,6.0,1.0
Apocalypseburg Abe,,7.0,1.0
Vest Friend Rex,,6.0,1.0
Kitty Pop,,7.0,1.0
Dorothy Gale & Toto,,7.0,1.0
Cowardly Lion,,6.0,1.0
Scarecrow,,6.0,1.0
Tin Man,,8.0,1.0
Unikitty,,15.0,1.0
LEGO Minifigures - The LEGO Movie 2 Series - Complete,,144.0,20.0
LEGO Minifigures - The LEGO Movie 2 Series - Sealed Box,3.99,,
LEGO Minifigures - Disney Series 2 {Random bag},,,
Vintage Mickey,3.99,5.0,1.0
Vintage Minnie,3.99,6.0,1.0
Huey Duck,3.99,6.0,1.0
Dewey Duck,3.99,6.0,1.0
Louie Duck,3.99,7.0,1.0
Scrooge McDuck,3.99,7.0,1.0
Chip,3.99,5.0,1.0
Dale,3.99,4.0,1.0
Elsa,3.99,6.0,1.0
Anna,3.99,7.0,1.0
Jafar,3.99,7.0,1.0
Jasmine,3.99,5.0,1.0
Hades,3.99,5.0,1.0
Hercules,3.99,7.0,1.0
Sally,3.99,6.0,1.0
Jack Skellington,3.99,9.0,1.0
Edna Mode,3.99,7.0,1.0
Frozone,3.99,6.0,1.0
LEGO Minifigures - Disney Series 2 - Complete,,111.0,18.0
LEGO Minifigures - Disney Series 2 - Sealed Box,3.99,,
LEGO Minifigures - Series 19 {Random Bag},,,
Video Game Champ,,7.0,1.0
Shower Guy,,8.0,1.0
Fright Knight,,9.0,1.0
Monkey King,,12.0,1.0
Programmer,,9.0,1.0
Mummy Queen,,6.0,1.0
Jungle Explorer,,8.0,1.0
Fire Fighter,,6.0,1.0
Dog Sitter,,9.0,1.0
Pizza Costume Guy,,6.0,1.0
Galactic Bounty Hunter,,8.0,1.0
Gardener,,7.0,1.0
Rugby Player,,6.0,1.0
Fox Costume Girl,,8.0,1.0
Bear Costume Guy,,7.0,1.0
Mountain Biker,,10.0,1.0
LEGO Minifigures - Series 19 - Complete,3.99,126.0,16.0
LEGO Minifigures - Series 19 - Sealed Box,,,
Disney Train and Station,329.99,2925.0,
Naboo Starfighter Microfighter,9.99,62.0,1.0
Sith Infiltrator Microfighter,9.99,92.0,1.0
Elite Praetorian Guard Battle Pack,14.99,109.0,
Inferno Squad Battle Pack,14.99,118.0,
Darth Vader Bust,,327.0,
Escape Pod vs. Dewback Microfighters,19.99,177.0,
Death Star Escape,29.99,329.0,
Kylo Ren & Sith Trooper,19.99,240.0,
Droid Gunship,59.99,389.0,4.0
AT-AP Walker,68.23,689.0,
X-wing Starfighter Trench Run,29.23,132.0,3.0
Duel on Starkiller Base,19.99,191.0,
TIE Fighter Attack,19.99,77.0,2.0
Action Battle Endor Assault,29.23,193.0,
Hoth Generator Attack,29.23,235.0,
Major Vonreg's TIE Fighter,68.23,496.0,
Action Battle Echo Base Defence,58.48,504.0,
Black Ace TIE Interceptor,48.73,396.0,
Slave I - 20th Anniversary Edition,116.97,1007.0,
Tantive IV,194.95,1768.0,
Star Wars Advent Calendar,29.99,280.0,
Death Star Cannon,19.49,159.0,2.0
Rebel A-wing Starfighter,14.99,62.0,2.0
Resistance A-wing Starfighter,29.23,269.0,
Resistance Y-wing Starfighter,69.99,578.0,
Pasaana Speeder Chase,48.73,373.0,
Darth Vader's Castle,129.99,1060.0,
Imperial Star Destroyer,699.99,4784.0,
Droid Commander,194.95,1177.0,
AT-ST Raider,59.99,540.0,
Yoda,119.99,1771.0,1.0
Kylo Ren's Shuttle,119.99,1005.0,
Millennium Falcon,159.99,1351.0,
Anakin's Podracer – 20th Anniversary Edition,29.23,279.0,
Snowspeeder – 20th Anniversary Edition,39.99,309.0,
Clone Scout Walker – 20th Anniversary Edition,29.99,250.0,
Imperial Dropship – 20th Anniversary Edition,19.99,125.0,
Mini Boost Droid Commander,,62.0,
The Upside Down,199.99,2287.0,
Ferrari F40 Competizione,14.99,198.0,
Chevrolet Camaro ZL1 Race Car,14.99,198.0,
McLaren Senna,14.99,219.0,
2018 Dodge Challenger SRT Demon and 1970 Dodge Charger R/T,39.99,478.0,
1967 Mini Cooper S Rally and 2018 MINI John Cooper Works Buggy,48.73,481.0,
1974 Porsche 911 Turbo 3.0,14.99,180.0,
Dilophosaurus on the Loose,24.36,168.0,
Baryonyx Face-Off: The Treasure Hunt,59.99,434.0,
Jurassic Park: T. rex Rampage,249.99,3120.0,
Triceratops Rampage,58.48,447.0,
T. rex vs Dino-Mech Battle,87.72,716.0,
Expecto Patronum,19.49,121.0,
Hungarian Horntail Triwizard Challenge,34.11,265.0,
Hagrid's Hut: Buckbeak's Rescue,59.99,496.0,
Hogwarts Clock Tower,99.99,922.0,
The Knight Bus,39.99,403.0,
Beauxbatons' Carriage: Arrival at Hogwarts ,48.73,430.0,
Harry Potter Advent Calendar,24.99,305.0,
The Rise of Voldemort,19.49,184.0,
Tracer vs. Widowmaker,14.99,129.0,
Hanzo vs. Genji,24.36,197.0,
Dorado Showdown,29.99,419.0,
D.Va & Reinhardt,39.99,455.0,
Bastion,58.48,602.0,
Watchpoint: Gibraltar,87.72,730.0,
Wrecking Ball,19.49,227.0,
Junkrat & Roadhog,48.73,380.0,
Spider-Man Bike Rescue,24.36,235.0,
Spider-Man's Spider Crawler ,38.98,418.0,
Spider Mech vs. Venom ,48.73,604.0,
Batman Batsub and the Underwater Clash,24.99,174.0,
Batman Mech vs. Poison Ivy Mech ,39.99,375.0,
Mr. Freeze Batcycle Battle,24.36,200.0,
Batmobile: Pursuit of The Joker,29.23,342.0,2.0
Batwing and The Riddler Heist,48.73,489.0,
Batcave Clayface Invasion,97.47,1038.0,
Captain America: Outriders Attack,24.36,167.0,
War Machine Buster,34.11,362.0,
Iron Man Hall of Armour,59.99,524.0,
Avengers Ultimate Quinjet,77.97,838.0,
Captain Marvel and The Skrull Attack,29.23,307.0,
Molten Man Battle,29.23,294.0,
Hydro-Man Attack,39.99,471.0,
Stark Jet and the Drone Attack,58.48,504.0,
Avengers Compound Battle,97.47,699.0,
Spider-Man Car Chase,9.99,52.0,
Spider-Man: Doc Ock Diamond Heist,29.99,150.0,
Batman vs. The Riddler Robbery,9.74,59.0,2.0
Batman and The Joker Escape,38.98,171.0,
1989 Batmobile,249.99,3306.0,
Avengers Hulk Helicopter Rescue,58.48,482.0,
Sith Trooper Bust,,484.0,
Captain Marvel and the Asis,,271.0,
The Dark Knight of Gotham City,,427.0,1.0
Chinese New Year's Eve Dinner,,615.0,
Dragon Dance,,622.0,
Dragon Boat Race,49.99,643.0,
Koi,,293.0,
Shark Skin,,31.0,
Splash Koi Skin,,33.0,
Ink Koi Skin,,33.0,
Boost Hub,79.99,1.0,
Colour & Distance Sensor,13.99,1.0,
Medium Linear Motor,16.99,1.0,
Hub,49.99,1.0,
Remote Control,22.99,1.0,
Train Motor,13.99,7.0,
Garmadon,,4.0,1.0
Garmadon,,4.0,1.0
Wu,,1.0,1.0
Wu,,1.0,1.0
Kai vs. Wyplash,,2.0,2.0
Kai vs. Wyplash,,2.0,2.0
Jay Vs. Lasha,,4.0,2.0
Jay vs. Lasha,,4.0,2.0
Baby Raptor,,33.0,
Owen with Baby Raptor,,3.0,1.0
Batman with Bat-a-Rang,,2.0,1.0
Robin,,3.0,1.0
Superman,,5.0,1.0
The Flash,,6.0,1.0
Joker,,5.0,1.0
Batman,,2.0,1.0
Show Jump,,34.0,
Emmet with Tools,,5.0,1.0
Rex with Jetpack,,,
Emma's Kitty Chico,,22.0,
Shop with Costumes,,30.0,
Sweet Baby,,15.0,1.0
Bear's Cave,,22.0,
Andrea's Booth with Waffles,,29.0,
Robot on paddleboard,,18.0,
Ice Cream Parlour,,38.0,
Andrea's Stage,,21.0,
Stephanie's Puppy Dash,,20.0,
Halloween Store,,15.0,
Olivia's Bakery,,38.0,
Jack,,4.0,1.0
Possessed Pizza Delivery Man,,3.0,
Parker,,2.0,1.0
TLM2 Accessory Set 2019,12.99,48.0,
Oni Battle Pack,12.99,36.0,
Emmet Keyring,4.86,,
Lucy Keyring,4.99,,
Emmet's Construction Worker Vest,14.99,,
Batarang,7.79,,
Flail,,,
Emmet Mask,9.99,,
Lucy Hair,4.99,,
Emmet Pod,8.99,27.0,1.0
Sweet Mayhem's Disco Pod,8.76,28.0,
TLM2 Tumbler with Straw,7.99,,
TLM2 Hydration Bottle,12.99,,
TLM2 Notebook,12.99,,
Emmet Plush,24.99,,
Lucy Plush,24.36,,
Friends Creative Bag Charms,5.99,,
Stephanie Key Chain,4.99,,
Olivia Key Chain,4.99,,
Friends Phone Cover,24.99,,
Friends Tumbler with Straw,7.79,,
Cookie Cutters,9.74,,
LEGO Friends Ceramic Mug,14.99,,
LEGO Friends Hair Accessory Set,9.99,,
Jay Keyring,4.86,,
Nya Keyring,4.86,,
Lloyd's Kendo Training Pod,8.99,25.0,1.0
4 4x4 Magnets,7.79,,
NINJAGO Tumbler with Straw,7.99,,
Creative Bag Charm,5.99,,
Brick Suit Guy Key Chain,4.86,,
Cactus Boy Key Chain,4.99,,
Elephant Girl Key Chain,4.99,,
LEGO Greeting Card,4.99,40.0,
LEGO Toy Soldier Ornament,7.99,43.0,
Drinking cup,,,
LEGO® Minifigure Ceramic Mug,14.99,,
LEGO Brick Ice Cube Tray,9.74,,
Ice Lollipop Tray,,,
LEGO Key Hanger,9.74,,
London Bus Magnet,9.99,,
4 4x4 Magnets,7.79,,
Creative Stationery Set,16.99,,
City Firefighter Key Chain,4.99,,
City Police Vest,,,
LEGO DUPLO Tableware,14.61,,
Brick Stickers,5.99,17.0,
Creative Rings,,43.0,
Stormtrooper Keyring,4.99,,
Luke Skywalker Key Chain,4.99,,
Princess Leia Key Chain,4.99,,
Kylo Ren Key Chain,4.86,,
Spider Man Key Chain,4.99,,
Batman Key Chain,4.99,,
Superman Key Chain,4.99,,
Batwoman Key Chain,4.99,,
Ariel Keyring,4.99,,
Aurora Keyring,4.99,,
Creeper Key Chain,4.99,,
Chicken Skater Pod,,36.0,
2x6 Key Chain,4.99,,
TLM2 Stop Sign Shield,15.99,,
Wooden Minifigure,116.97,30.0,
"Wooden Minifigure, Colette Mon Amour Edition",,30.0,
Frozen 2 Elsa Keyring,4.99,,
Frozen 2 Anna Keyring,4.99,,
Frozen 2 Olaf Keyring,4.99,,
Minifigure Factory Box,,,
Young Wu,,5.0,1.0
Jay,,3.0,
Heavy Metal,,6.0,
Iron Baron,,2.0,1.0
Lloyd,,5.0,
Daddy No Legs,,2.0,
Nya,,4.0,
Blizzard Samurai,,5.0,
Cole,,14.0,
Pyro Whipper,,8.0,
Kai,,6.0,1.0
Blizzard Samurai,,3.0,
Zane,,8.0,
Jay,,5.0,1.0
Luke Skywalker,,6.0,1.0
Resistance Bomber,,37.0,
Slave I,,31.0,
U-wing,,37.0,
IG-88,,11.0,1.0
AT-M6,,52.0,
Millennium Falcon,,32.0,
B-wing,,52.0,
First Order Stormtrooper ,,5.0,1.0
Jedi Interceptor,,30.0,
First Order SF TIE Fighter,,32.0,
Kylo Ren's TIE Silencer,,33.0,
Police Officer and Jet,,22.0,
Fireman,,9.0,
Lawnmower,,27.0,
Police Officer with Jetpack,,10.0,
Gyrocopter,,29.0,1.0
Diver,,16.0,
Police Buggy,,27.0,1.0
Astronaut,,18.0,
Pizza Delivery Biker,,10.0,
Traffic Cop,,9.0,1.0
Space Buggy,,17.0,1.0
Lumberjack,,13.0,
FIRST Competitions Medal,,18.0,
Spike Prime Marketing Kit,,150.0,
BOOMTOWN BUILD Discover More,,12.0,
Butterfly,,45.0,
LEGO System House,,,
LEGO Play Day polybag,,39.0,
Christmas X-wing,,1038.0,
Yoda Minifigure Link Watch,,,
2x4 Red Luggage Tag,4.99,,
2x4 Blue Luggage Tag,4.99,,
LEGO Pencils 6 pack,3.99,,
Building a Dream - The Story of the LEGO House,,,
Emma Buildable Watch,,,
Boy Luggage Tag,7.99,,
Storage Bag,,,
Emmet Alarm Clock,29.99,,
Wyldstyle Alarm Clock,29.23,,
Emmet Minifigure Link Watch,24.99,,
Unikitty Buildable Watch with Figure Link,24.99,,
Wyldstyle Minifigure Link Watch,24.36,,
Hot Dog Guy Key Light,12.99,,
Banana Guy Key Light,12.99,,
Batman Luggage Tag,7.99,,
Emmet Luggage Tag,7.99,,
Sweet Mayhem Luggage Tag,7.99,,
Unikitty Luggage Tag,7.99,,
Unikitty Night Light,34.99,,
Sticker roll,3.99,,
Batman Key Light,12.99,,
Emmet Key Light,12.99,,
Unikitty Key Light,12.99,,
Boy NiteLite,,,
Girl NiteLite,,,
Unikitty Torch,,,
Bag Tag,,,
Lunch Set Iconic Girl,,,
The LEGO Movie 2 Awesome Trading Cards,,,
The LEGO Movie 2 Awesome Collector Album,,,
Holographic Brick Backpack,,,
Boba Fett Bag Tag,7.99,,
Darth Vader Bag Tag,7.99,,
R2 D2 Bag Tag,7.99,,
Yoda Bag Tag,,,
Ford Mustang / LEGO Key Chain,,,
20th Anniversary Darth Vader Brick Clock,29.99,,
20th Anniversary Darth Vader Link Watch,24.99,,
Stormtrooper Bag Tag,7.99,,
Emmet Clip,,,
Unikitty Clip,,,
LEGO Star Wars Notebook with Gel Pen,17.99,,
Sweet Mayhem Clip,,,
Benny Clip,,,
Emmet Minifigure Plush,,,
Unikitty Plush,,,
Captain Marvel Black & White Art Print,,,
Captain Marvel Art Print,,,
 Avengers: Endgame art print,,,
Avengers: Endgame Black & White Art Print,,,
Spider-Man: Far From Home Art Print,,,
Spider-Man: Far From Home Black & White Art Print,,,
THE LEGO MOVIE 2: The Second Part (Blu-ray + DVD),,,
20th Anniversary Star Wars Poster,,,
Star Wars 20th anniversary art print,,,
Minifigure Notebook,12.66,,
Lloyd Luggage Tag,7.99,,
Mechanical Pencil,3.99,,
2x4 Brick Luggage Tag,7.99,,
"Red, Bright Blue and Yellow Wall Hanger Set",,,
NASA Apollo 11 Lunar Lander Patch,,,
Reversible Canvas Tote Bag ,,,
Minifigure Belight Backpack,44.99,,
Friends Belight Backpack,44.99,,
NINJAGO Belight Backpack,43.86,,
NINJAGO Pencil Roll,7.99,,
Friends Pencil Roll,7.79,,
Minifigure Pencil Roll,7.79,,
Teen Minifigure Backpack,49.99,,
Minifigure Drawstring Bag,11.69,,
Kindergarten Backpack,19.99,,
Minifigure Lunch Box,6.99,,
